Problem ID,Problem type,Framework,Experiment name,Outcome,Problem Version Solved,Is Generalizable?,Quality / Anomaly
576224,Holistic Abstract Reasoning,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
576224,Holistic Abstract Reasoning,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
576224,Holistic Abstract Reasoning,Baseline_Single_Agent,Initial 5 problems pilot,Success,ARC-AGI-V2,TRUE,Optimal & Robust
576224,Holistic Abstract Reasoning,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
576224,Holistic Abstract Reasoning,Baseline_Static_Homogeneous,Initial 5 problems pilot,Success,ARC-AGI-V2,TRUE,Optimal & Robust
576224,Holistic Abstract Reasoning,CP-ATS,Initial 5 problems pilot,Success,ARC-AGI-V2,TRUE,Optimal & Robust
576224,Holistic Abstract Reasoning,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
5269061,Local Geometric Analysis,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
22168020,Cognitive Labyrinth,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V1,TRUE,False Positive Success driven by data contamination
009d5c81,Holistic Abstract Reasoning,Adaptive_CP-ATS_Budget_Pool,Initial 5 problems pilot,Failure,ARC-AGI-V1,FALSE,Simplistic Overfitting
009d5c81,Holistic Abstract Reasoning,Baseline_Single_Agent,Initial 5 problems pilot,Failure,ARC-AGI-V2,FALSE,Hallucinated & Convoluted Logic
009d5c81,Holistic Abstract Reasoning,Baseline_Static_Heterogeneous,120 experiment,Failure,ARC-AGI-V2,FALSE,Sophisticated but Flawed Generalization
009d5c81,Holistic Abstract Reasoning,Baseline_Static_Homogeneous,Initial 5 problems pilot,Failure,ARC-AGI-V2,FALSE,Hallucinated Logic with a Strong Numerical Bias
009d5c81,Holistic Abstract Reasoning,CP-ATS,120 experiment,Failure,ARC-AGI-V2,FALSE,Simplistic Overfitting
00d62c1b,Cognitive Labyrinth,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V1,TRUE,Optimal & Robust
00d62c1b,Cognitive Labyrinth,Baseline_Static_Heterogeneous,Initial 5 problems pilot,Success,ARC-AGI-V1,TRUE,Optimal & Robust
00d62c1b,Cognitive Labyrinth,Baseline_Static_Homogeneous,Initial 5 problems pilot,Failure,ARC-AGI-V1,FALSE,Brittle Solution due to Flawed Implementation
00d62c1b,Cognitive Labyrinth,CP-ATS,Initial 5 problems pilot,Success,ARC-AGI-V1,TRUE,Optimal & Robust
00dbd492,Local Geometric Analysis,Baseline_Static_Heterogeneous,Initial 5 problems pilot,Failure,ARC-AGI-V2/V1,FALSE,Brittle Solution based on Flawed Heuristics
00dbd492,Local Geometric Analysis,Baseline_Static_Homogeneous,Initial 5 problems pilot,Failure,ARC-AGI-V2/V1,FALSE,Brittle Solution with flawed numerical rules
025d127b,Local Geometric Analysis,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V1,FALSE,Catastrophic oversimplification
025d127b,Local Geometric Analysis,Baseline_Static_Heterogeneous,120 experiment,Failure,ARC-AGI-V1,FALSE,Brittle Solution due to Flawed Implementation
025d127b,Local Geometric Analysis,CP-ATS_Static,120 experiment,Failure,ARC-AGI-V1,FALSE,Brittle Solution due to Flawed Implementation
0520fde7,Direct Procedure,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V1,FALSE,Logically Correct but Brittle (Hardcoded dimensions)
0520fde7,Direct Procedure,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Success,ARC-AGI-V1,TRUE,Optimal & Robust
0520fde7,Direct Procedure,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V1,TRUE,Optimal & Robust
0520fde7,Direct Procedure,Baseline_Static_Heterogeneous,120 experiment,Failure,ARC-AGI-V1,FALSE,Brittle Solution based on Hallucinated Logic
0520fde7,Direct Procedure,Baseline_Static_Homogeneous,120 experiment,Failure,ARC-AGI-V1,FALSE,Brittle Solution based on Hallucinated Logic
0520fde7,Direct Procedure,CP-ATS_Static,120 experiment,Failure,ARC-AGI-V1,FALSE,Logically Correct but Brittle (Hardcoded dimensions)
070dd51e,Direct Procedure,Adaptive_CP-ATS_Budget_Pool,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Correct but Inefficient
070dd51e,Direct Procedure,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle Solutions based on Oversimplification
070dd51e,Direct Procedure,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Correct but Inefficient
070dd51e,Direct Procedure,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
070dd51e,Direct Procedure,Baseline_Static_Homogeneous,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle Solutions based on Oversimplification
070dd51e,Direct Procedure,CP-ATS_Static,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle Solutions based on Oversimplification
08ed6ac7,Local Geometric Analysis,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V1,FALSE,Highly brittle solution (Solved wrong version)
08ed6ac7,Local Geometric Analysis,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Failure,ARC-AGI-V1,FALSE,Brittle Solution (Solved wrong version)
08ed6ac7,Local Geometric Analysis,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V1,FALSE,Brittle and flawed implementation (Solved wrong version)
08ed6ac7,Local Geometric Analysis,Baseline_Static_Heterogeneous,120 experiment,Failure,ARC-AGI-V1,FALSE,Brittle Solution (Solved wrong version)
08ed6ac7,Local Geometric Analysis,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
08ed6ac7,Local Geometric Analysis,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
0962bcdd,Holistic Abstract Reasoning,Baseline_Single_Agent,120 experiment,Success,ARC-AGI-V2,TRUE,Optimal & Robust
0962bcdd,Holistic Abstract Reasoning,CP-ATS_Static,120 experiment,Failure,ARC-AGI-V2,FALSE,Brittle Solution (Hardcoded colors)
0a938d79,Cognitive Labyrinth,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle & Overly Complex Solutions
0a938d79,Cognitive Labyrinth,Adaptive_CP-ATS_Fixed_Cycle,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Brittle & Overly Complex Solutions
0a938d79,Cognitive Labyrinth,Baseline_Single_Agent,120 experiment,Failure,ARC-AGI-V2/V1,FALSE,Fundamentally Broken Solution (Incorrect heuristics)
0a938d79,Cognitive Labyrinth,Baseline_Static_Heterogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0a938d79,Cognitive Labyrinth,Baseline_Static_Homogeneous,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0a938d79,Cognitive Labyrinth,CP-ATS_Static,120 experiment,Success,ARC-AGI-V2/V1,TRUE,Optimal & Robust
0becf7df,Cognitive Labyrinth,Adaptive_CP-ATS_Budget_Pool,120 experiment,Failure,ARC-AGI-V2,FALSE,Brittle Solution due to Hallucinated Logic (Hardcoded color swaps)
