Problem id,Successful condition,Successful python code,Experiment name,Arc-AGI version solved,Is Generalizable?,Gemini Pro 2.5 Analysis,
576224,Adaptive_CP-ATS_Budget_Pool,"def solve(input_grid):
    # Extract the original 2x2 grid
    a, b = input_grid[0][0], input_grid[0][1]
    c, d = input_grid[1][0], input_grid[1][1]
    
    # Create the 6x6 grid by repeating and flipping patterns
    output_grid = [
        [a, b, a, b, a, b],
        [c, d, c, d, c, d],
        [b, a, b, a, b, a],
        [d, c, d, c, d, c],
        [a, b, a, b, a, b],
        [c, d, c, d, c, d]
    ]
    return output_grid",120 experiment,V2 (no V1 version),TRUE,"Is the code generalizable? Yes. All provided solutions are high-quality, robust, and optimal.
Analysis & Insights: All frameworks produced code that is functionally identical and perfectly implements the required transformation. They all correctly abstract the 2x2 input into variables and then use those variables to construct the hardcoded 6x6 output pattern. This is the most direct and efficient solution.
",
576224,Adaptive_CP-ATS_Fixed_Cycle,"def solve(input_grid):
    # Extract the original 2x2 grid
    a, b = input_grid[0][0], input_grid[0][1]
    c, d = input_grid[1][0], input_grid[1][1]
    
    # Create the 6x6 grid by repeating and flipping patterns
    output_grid = [
        [a, b, a, b, a, b],
        [c, d, c, d, c, d],
        [b, a, b, a, b, a],
        [d, c, d, c, d, c],
        [a, b, a, b, a, b],
        [c, d, c, d, c, d]
    ]
    return output_grid",120 experiment,V2 (no V1 version),TRUE,"Is the code generalizable? Yes. All provided solutions are high-quality, robust, and optimal.
Analysis & Insights: All frameworks produced code that is functionally identical and perfectly implements the required transformation. They all correctly abstract the 2x2 input into variables and then use those variables to construct the hardcoded 6x6 output pattern. This is the most direct and efficient solution.
",
576224,Baseline_Single_Agent,"def solve(input_grid):
    # Extract the original 2x2 grid
    a, b = input_grid[0][0], input_grid[0][1]
    c, d = input_grid[1][0], input_grid[1][1]
    
    # Create the 6x6 grid by repeating and flipping patterns
    output_grid = [
        [a, b, a, b, a, b],
        [c, d, c, d, c, d],
        [b, a, b, a, b, a],
        [d, c, d, c, d, c],
        [a, b, a, b, a, b],
        [c, d, c, d, c, d]
    ]
    return output_grid",Initial 5 problems pilot,V2 (no V1 version),TRUE,"Is the code generalizable? Yes. All provided solutions are high-quality, robust, and optimal.
Analysis & Insights: All frameworks produced code that is functionally identical and perfectly implements the required transformation. They all correctly abstract the 2x2 input into variables and then use those variables to construct the hardcoded 6x6 output pattern. This is the most direct and efficient solution.
",
576224,Baseline_Static_Heterogeneous,"def solve(input_grid):
    # Extract the 2x2 pattern
    a, b = input_grid[0][0], input_grid[0][1]
    c, d = input_grid[1][0], input_grid[1][1]
    
    # Create the output grid by repeating and flipping the pattern
    output_grid = [
        [a, b, a, b, a, b],
        [c, d, c, d, c, d],
        [b, a, b, a, b, a],
        [d, c, d, c, d, c],
        [a, b, a, b, a, b],
        [c, d, c, d, c, d]
    ]
    return output_grid",120 experiment,V2 (no V1 version),TRUE,"Is the code generalizable? Yes. All provided solutions are high-quality, robust, and optimal.
Analysis & Insights: All frameworks produced code that is functionally identical and perfectly implements the required transformation. They all correctly abstract the 2x2 input into variables and then use those variables to construct the hardcoded 6x6 output pattern. This is the most direct and efficient solution.
",
576224,Baseline_Static_Homogeneous,"def solve(input_grid):
    # Extract the original 2x2 grid
    a, b = input_grid[0][0], input_grid[0][1]
    c, d = input_grid[1][0], input_grid[1][1]
    
    # Create the output grid by repeating and flipping the pattern
    output_grid = [
        [a, b, a, b, a, b],
        [c, d, c, d, c, d],
        [b, a, b, a, b, a],
        [d, c, d, c, d, c],
        [a, b, a, b, a, b],
        [c, d, c, d, c, d]
    ]
    return output_grid",Initial 5 problems pilot,V2 (no V1 version),TRUE,"Is the code generalizable? Yes. All provided solutions are high-quality, robust, and optimal.
Analysis & Insights: All frameworks produced code that is functionally identical and perfectly implements the required transformation. They all correctly abstract the 2x2 input into variables and then use those variables to construct the hardcoded 6x6 output pattern. This is the most direct and efficient solution.
",
576224,CP-ATS,"def solve(input_grid):
    # Extract the original 2x2 grid
    a, b = input_grid[0][0], input_grid[0][1]
    c, d = input_grid[1][0], input_grid[1][1]
    
    # Create the output grid by repeating and flipping patterns
    output_grid = [
        [a, b, a, b, a, b],
        [c, d, c, d, c, d],
        [b, a, b, a, b, a],
        [d, c, d, c, d, c],
        [a, b, a, b, a, b],
        [c, d, c, d, c, d]
    ]
    return output_grid",Initial 5 problems pilot,V2 (no V1 version),TRUE,"Is the code generalizable? Yes. All provided solutions are high-quality, robust, and optimal.
Analysis & Insights: All frameworks produced code that is functionally identical and perfectly implements the required transformation. They all correctly abstract the 2x2 input into variables and then use those variables to construct the hardcoded 6x6 output pattern. This is the most direct and efficient solution.
",
576224,CP-ATS_Static,"def solve(input_grid):
    # Extract the original 2x2 grid
    a, b = input_grid[0][0], input_grid[0][1]
    c, d = input_grid[1][0], input_grid[1][1]
    
    # Create the 6x6 grid by repeating and alternating patterns
    output_grid = [
        [a, b, a, b, a, b],
        [c, d, c, d, c, d],
        [b, a, b, a, b, a],
        [d, c, d, c, d, c],
        [a, b, a, b, a, b],
        [c, d, c, d, c, d]
    ]
    return output_grid",120 experiment,V2 (no V1 version),TRUE,"Is the code generalizable? Yes. All provided solutions are high-quality, robust, and optimal.
Analysis & Insights: All frameworks produced code that is functionally identical and perfectly implements the required transformation. They all correctly abstract the 2x2 input into variables and then use those variables to construct the hardcoded 6x6 output pattern. This is the most direct and efficient solution.
",
5269061,Baseline_Static_Homogeneous,"def solve(input_grid):
    # Extract the pattern from the input grid by scanning diagonally from bottom-left to top-right
    pattern = []
    rows = len(input_grid)
    cols = len(input_grid[0]) if rows > 0 else 0
    
    # Start from bottom-left corner and move up-right diagonally
    for i in range(rows - 1, -1, -1):
        j = 0
        current_i, current_j = i, j
        while current_i < rows and current_j < cols:
            val = input_grid[current_i][current_j]
            if val != 0 and val not in pattern:
                pattern.append(val)
            current_i += 1
            current_j += 1
    
    # If no pattern found (unlikely based on training examples), return original grid
    if not pattern:
        return input_grid
    
    # Create the output grid by tiling the pattern in a checkerboard fashion
    output_grid = []
    for i in range(rows):
        row = []
        for j in range(cols):
            # Determine which element of the pattern to use based on (i+j) mod len(pattern)
            index = (i + j) % len(pattern)
            row.append(pattern[index])
        output_grid.append(row)
    
    return output_grid",120 experiment,V2 (no V1 version),TRUE,"Is the code generalizable? Yes. All provided solutions are high-quality, robust, and optimal.
Analysis & Insights: All frameworks produced code that is functionally identical and perfectly implements the required transformation. They all correctly abstract the 2x2 input into variables and then use those variables to construct the hardcoded 6x6 output pattern. This is the most direct and efficient solution.
",
22168020,Adaptive_CP-ATS_Budget_Pool,"def solve(input_grid):
    output_grid = [row.copy() for row in input_grid]
    rows = len(input_grid)
    cols = len(input_grid[0]) if rows > 0 else 0
    
    # Find all non-zero values and their positions
    value_positions = {}
    for i in range(rows):
        for j in range(cols):
            val = input_grid[i][j]
            if val != 0:
                if val not in value_positions:
                    value_positions[val] = []
                value_positions[val].append((i, j))
    
    # For each unique value, find the min and max rows where it appears
    for val in value_positions:
        positions = value_positions[val]
        if not positions:
            continue
        
        min_row = min(p[0] for p in positions)
        max_row = max(p[0] for p in positions)
        
        # Fill between min and max rows for this value
        for i in range(min_row, max_row + 1):
            # Find leftmost and rightmost columns for this row
            cols_in_row = [p[1] for p in positions if p[0] == i]
            if not cols_in_row:
                # If no occurrences in this row, find the closest columns from adjacent rows
                left = min(p[1] for p in positions if p[0] in [min_row, max_row])
                right = max(p[1] for p in positions if p[0] in [min_row, max_row])
            else:
                left = min(cols_in_row)
                right = max(cols_in_row)
            
            # Fill the entire range between left and right
            for j in range(left, right + 1):
                output_grid[i][j] = val
    
    return output_grid",120 experiment,V1,TRUE,"Is the code generalizable? Yes, but for the wrong problem. The code is a robust and generalizable solution for ARC-AGI-V1. It would correctly solve other ""fill the horizontal gaps"" tasks. It is, however, completely useless for the ARC-AGI-V2 task it was supposed to be solving.
	Key Insights for Your Research:
	""False Positive"" Success: This is the most potent insight. Your experiment recorded this as a ""successful solve"" with a perfect pixel match, but our analysis proves the model solved the wrong problem entirely. This is a critical piece of evidence for your paper's argument that current evaluation methods are not just weak, but can be actively misleading.
	The Power of Contamination: This case is a ""smoking gun"" because the logic of V1 and V2 are so radically different. It proves the model is not reasoning from the provided examples but is pattern-matching on problem IDs and recalling answers.
	Strengthens the ""Skeptic Agent"" Proposal: This finding provides a perfect justification for your proposed ""Validation Layer."" A Skeptic Agent could have cross-referenced the problem ID with a database of known V1 problems and immediately flagged this ""success"" as a likely contamination event, invalidating the result and providing a more accurate picture of the framework's true performance.",
009d5c81,Adaptive_CP-ATS_Budget_Pool,"def solve(input_grid):
    output_grid = [row.copy() for row in input_grid]
    max_value = 0
    # Find the maximum value in the grid (excluding 0 and 1)
    for row in input_grid:
        for val in row:
            if val > 1 and val > max_value:
                max_value = val
    # Replace all instances of max_value with max_value - 1
    for i in range(len(output_grid)):
        for j in range(len(output_grid[0])):
            if output_grid[i][j] == max_value:
                output_grid[i][j] = max_value - 1
    # Remove all 1 patterns (replace with 0)
    for i in range(len(output_grid)):
        for j in range(len(output_grid[0])):
            if output_grid[i][j] == 1:
                output_grid[i][j] = 0
    return output_grid",120 experiment,V1,FALSE,"Which version was solved? ARC-AGI-V1.
Is the code generalizable? No.
Analysis & Insights: This is the most basic form of a ""Brittle Solution"" based on Simplistic Overfitting. The code's logic is ""find the biggest number that isn't 1 (which is 8), change it to 7, and delete the 1s."" This rule is not derived from all training examples; it's a simple heuristic that only works because the first training example and the final test case in V1 both happen to follow the ""T-shape key -> color 7"" rule. This code would fail on any other key shape. It represents the lowest level of reasoning: latching onto the first pattern seen.",
